EPVQ_01,EPVQ_02,EPVQ_03,EPVQ_04,EPVQ_05,EPVQ_06,EPVQ_07,EPVQ_08,EPVQ_09,EPVQ_10,EPVQ_11,EPVQ_12,EPVQ_13,EPVQ_14,EPVQ_15,EPVQ_16,EPVQ_17
6,4,7,4,7,7,7,7,6,6,6,6,1,1,6,2,5
5,6,4,4,7,7,7,7,7,6,7,6,1,1,2,3,5
7,7,7,6,6,7,7,7,6,7,6,7,5,5,4,5,7
7,6,6,6,6,7,6,7,7,4,6,5,3,3,5,6,5
6,7,7,6,7,7,7,7,7,6,7,6,1,1,5,4,6
6,7,4,6,5,7,6,7,7,7,5,7,2,3,3,5,7
6,5,7,6,7,6,7,6,7,6,4,7,5,5,7,6,6
6,5,6,6,6,7,6,6,7,6,5,5,4,5,6,5,6
7,6,6,6,7,7,6,7,7,6,5,7,1,1,3,2,6
6,5,5,6,4,6,5,6,5,6,3,5,2,4,5,4,5
7,6,7,6,7,7,7,7,6,7,6,6,6,6,6,5,6
6,5,5,6,6,5,6,6,5,6,3,5,4,4,4,5,5
7,6,6,6,7,7,7,7,6,5,3,4,4,1,7,5,2
7,7,6,7,7,7,7,7,7,7,7,7,7,5,7,7,7
3,3,6,6,6,4,7,3,6,4,6,5,4,5,4,6,6
5,2,2,5,5,5,7,6,7,7,7,7,1,3,4,4,6
5,7,3,2,5,7,7,7,7,7,7,7,2,1,6,1,7
5,6,2,5,7,7,7,7,7,6,6,6,2,1,3,2,6
7,7,5,6,7,7,7,7,7,7,7,7,1,1,5,3,5
5,6,5,5,6,5,6,6,5,5,5,4,6,4,4,3,5
7,7,7,4,7,7,6,6,7,6,7,6,1,1,5,3,3
6,6,7,4,7,7,7,7,7,6,7,7,1,2,4,2,2
7,6,5,7,5,7,7,7,7,6,3,6,4,4,5,6,5
7,7,7,7,7,7,7,7,7,4,7,6,1,1,4,7,4
